MICROX 8 v1.1 (© 10/99 by PreSens)	10/24/2000	1:41:51 PM						
11:24:16 AM 2:17:53 PM	39.21	2341	3	43.9	43.23	2802	2	8
11:28:17 AM 2:17:55 PM	39.16	2336	3	44.3	43.13	2794	2	8.7
11:32:18 AM 2:17:57 PM	39.15	2336	3	44.5	43.34	2799	2	7.2
11:36:19 AM 2:17:59 PM	39.13	2343	3	44.7	43.2	2801	2	8.2
11:40:20 AM 2:18:01 PM	39.52	2351	3	41.1	43.08	2800	2	9
11:44:20 AM 2:18:03 PM	39.48	2354	3	41.5	43.17	2799	2	8.4
11:48:22 AM 2:18:05 PM	39.17	2333	2	44.3	43.19	2798	2	8.3
11:52:23 AM 2:18:07 PM	39.26	2343	2	43.5	43.08	2796	2	9
11:56:23 AM 2:18:09 PM	39.19	2342	2	44.1	43.13	2793	2	8.7
12:00:24 PM 2:18:11 PM	39.12	2342	2	44.7	43.2	2792	2	8.1
12:04:25 PM 2:18:13 PM	39.31	2351	2	43	43.21	2794	2	8.1
12:08:26 PM 2:18:15 PM	39.29	2349	2	43.2	43.21	2795	2	8.1
12:12:27 PM 2:18:17 PM	39.41	2345	2	42.1	39.09	2592	5	39.8
12:16:28 PM 2:18:19 PM	38.9	2332	2	46.7	43.08	2742	4	9
12:20:29 PM 2:18:21 PM	38.93	2333	2	46.4	43.24	2749	4	7.9
12:24:30 PM 2:18:23 PM	39.07	2333	3	45.2	43.15	2753	4	8.5
12:28:31 PM 2:18:25 PM	39.06	2332	3	45.3	43.22	2753	4	8
12:32:32 PM 2:18:27 PM	38.92	2331	3	46.6	43.28	2755	4	7.6
12:36:33 PM 2:18:29 PM	39.2	2333	3	44	43.22	2754	4	8
12:40:34 PM 2:18:31 PM	39.24	2333	3	43.7	43.24	2749	4	7.9
12:44:35 PM 2:18:33 PM	39.41	2345	3	42.1	43.22	2752	4	8.1
12:48:35 PM 2:18:35 PM	39.11	2340	3	44.8	43.25	2753	4	7.8
12:52:37 PM 2:18:37 PM	39.45	2348	3	41.7	43.25	2748	4	7.9
12:58:33 PM 2:18:39 PM	39.41	2350	3	42.1	43.12	2749	4	1.3
1:02:34 PM 2:18:41 PM	39.49	2348	2	41.4	43.23	2753	3	0.6
1:06:35 PM 2:18:43 PM	39.52	2351	3	41.2	43.17	2748	4	1
1:10:36 PM 2:18:45 PM	39.4	2338	3	42.2	43.17	2747	4	1
1:14:37 PM 2:18:47 PM	39.49	2343	3	41.4	43.15	2749	4	1.1
1:18:38 PM 2:18:49 PM	39.41	2348	3	42.1	30.53	2130	9	142.4
1:22:39 PM 2:18:51 PM	39.52	2352	2	41.2	31.3	2138	5	129.6
1:26:40 PM 2:18:53 PM	39.41	2350	2	42.1	32.1	2135	3	117.3
1:30:41 PM 2:18:55 PM	39.56	2353	2	40.8	32.68	2184	3	108.9
1:34:42 PM 2:18:57 PM	39.63	2354	2	40.2	32.59	2188	3	110.2
1:38:43 PM 2:18:59 PM	39.6	2356	2	40.4	32.69	2190	3	108.8
1:42:44 PM 2:19:01 PM	39.6	2358	2	40.4	32.82	2192	3	106.9
1:46:45 PM 2:19:03 PM	39.59	2353	2	40.5	32.87	2192	3	106.1
1:50:45 PM 2:19:05 PM	39.61	2354	2	40.3	32.8	2195	3	107.1
1:54:47 PM 2:19:07 PM	39.73	2359	2	39.3	32.72	2193	3	108.3
1:58:47 PM 2:19:09 PM	39.66	2359	2	39.9	32.86	2196	3	106.3
2:02:48 PM 2:19:11 PM	39.58	2361	2	40.6	32.75	2195	3	107.9
2:07:30 PM 2:19:13 PM	39.5	2351	2	41.3	32.8	2187	3	99.2
2:11:32 PM 2:19:15 PM	39.64	2357	2	40	32.8	2195	4	99.1
2:15:32 PM 2:19:17 PM	39.82	2367	2	38.5	32.45	2192	3	103.8
2:19:33 PM 2:19:19 PM	39.85	2370	2	38.3	32.57	2213	4	102.1
2:23:34 PM 2:19:21 PM	39.82	2368	2	38.5	32.75	2217	4	99.7
2:27:35 PM 2:19:23 PM	39.89	2367	2	37.9	32.75	2220	3	99.8
2:31:36 PM 2:19:25 PM	39.65	2366	2	40	32.78	2225	4	99.4
2:35:37 PM 2:19:27 PM	39.62	2367	2	40.3	32.78	2223	4	99.4
2:39:38 PM 2:19:29 PM	39.82	2369	2	38.5	32.83	2225	3	98.7
2:43:39 PM 2:19:31 PM	39.82	2369	2	38.5	32.91	2229	3	97.7
2:47:40 PM 2:19:33 PM	39.95	2370	2	37.4	32.93	2229	3	97.4
2:51:41 PM 2:19:35 PM	39.84	2368	2	38.3	32.94	2228	3	97.3
2:55:42 PM 2:19:37 PM	39.78	2362	2	38.9	33.03	2231	3	96.2
2:59:43 PM 2:19:39 PM	39.85	2361	2	38.2	33.12	2231	3	94.9
3:03:44 PM 2:19:41 PM	39.89	2368	2	37.9	33.06	2233	0	95.7
3:07:44 PM 2:19:43 PM	39.99	2367	0	37	32.95	2238	0	97.2
3:11:45 PM 2:19:45 PM	39.92	2367	0	37.6	33.11	2236	0	95.1
3:15:47 PM 2:19:47 PM	39.85	2364	0	38.2	32.99	2238	0	96.7
3:19:47 PM 2:19:49 PM	39.94	2367	0	37.5	33.06	2234	0	95.7
3:23:48 PM 2:19:51 PM	40.04	2368	0	36.6	33.22	2238	0	93.7
3:27:49 PM 2:19:53 PM	39.84	2364	0	38.4	33.57	2272	0	89.3
3:31:50 PM 2:19:55 PM	40.11	2369	0	36	33.81	2278	0	86.4
3:35:51 PM 2:19:57 PM	39.87	2370	0	38.1	33.84	2281	0	86
3:39:52 PM 2:19:59 PM	39.86	2367	0	38.2	33.84	2285	0	86
3:43:53 PM 2:20:01 PM	40	2367	0	37	34.57	2321	0	77.4
3:47:54 PM 2:20:03 PM	40.08	2367	0	36.3	33.99	2295	0	84.2
3:51:55 PM 2:20:05 PM	40.14	2367	0	35.8	34.19	2297	0	81.8
3:55:56 PM 2:20:07 PM	40.1	2370	0	36.1	34.65	2334	0	76.5
3:59:57 PM 2:20:09 PM	40.05	2368	0	36.6	34.36	2308	0	79.8
4:03:58 PM 2:20:11 PM	40.22	2376	0	35.1	34.24	2306	0	81.3
4:07:59 PM 2:20:13 PM	40.05	2376	0	36.5	34.56	2329	0	77.5
4:11:59 PM 2:20:15 PM	40.24	2370	0	34.9	34.77	2335	0	75.1
4:16:00 PM 2:20:17 PM	40.11	2376	0	36.1	35.37	2365	0	68.5
4:20:02 PM 2:20:19 PM	40.34	2376	0	34.1	35.47	2369	0	67.4
4:24:02 PM 2:20:21 PM	40.26	2372	0	34.7	35.47	2374	0	67.4
4:28:03 PM 2:20:23 PM	40.21	2368	0	35.2	35.85	2392	0	63.3
4:32:04 PM 2:20:25 PM	40.29	2370	0	34.4	35.76	2388	0	64.3
4:36:05 PM 2:20:27 PM	40.28	2375	0	34.6	36.37	2428	0	57.9
4:40:06 PM 2:20:29 PM	40.38	2378	0	33.7	36.3	2422	0	58.6
4:44:07 PM 2:20:31 PM	40.34	2381	0	34	35.9	2401	0	62.8
4:48:08 PM 2:20:33 PM	40.35	2378	0	34	35.71	2387	0	64.7
4:52:09 PM 2:20:35 PM	40.22	2375	0	35	35.77	2380	0	64.2
4:56:10 PM 2:20:37 PM	40.42	2375	0	33.4	35.59	2375	0	66
5:00:11 PM 2:20:39 PM	40.56	2377	0	32.2	36.19	2405	0	59.8
5:04:12 PM 2:20:41 PM	40.45	2386	0	33.1	36.41	2417	0	57.5
5:08:13 PM 2:20:43 PM	40.39	2378	0	33.6	35.83	2406	0	63.6
5:12:14 PM 2:20:45 PM	40.37	2377	0	33.8	36.69	2436	0	54.7
5:16:14 PM 2:20:47 PM	40.49	2382	0	32.8	36.85	2445	0	53.1
5:20:15 PM 2:20:49 PM	40.54	2386	0	32.4	36.92	2455	0	52.4
5:24:17 PM 2:20:51 PM	40.71	2382	0	30.9	36.85	2450	0	53.1
5:28:17 PM 2:20:53 PM	40.49	2376	0	32.8	37.11	2456	0	50.5
5:32:18 PM 2:20:55 PM	40.46	2378	0	33.1	36.62	2432	0	55.4
5:36:19 PM 2:20:57 PM	40.44	2379	0	33.2	36.46	2418	0	57
5:40:20 PM 2:20:59 PM	40.71	2380	0	30.9	36.81	2444	0	53.5
5:44:21 PM 2:21:01 PM	40.72	2388	0	30.9	37.96	2500	0	42.5
5:48:22 PM 2:21:03 PM	40.74	2393	0	30.7	37.57	2476	0	46.1
5:52:23 PM 2:21:05 PM	40.93	2391	0	29.1	37.41	2481	0	47.7
5:56:24 PM 2:21:07 PM	40.84	2390	0	29.9	37.38	2468	0	47.9
6:00:25 PM 2:21:09 PM	40.55	2378	0	32.3	37.31	2465	0	48.6
6:04:26 PM 2:21:11 PM	40.39	2373	0	33.6	37.07	2453	0	50.9
6:08:27 PM 2:21:13 PM	40.57	2379	0	32.1	37.03	2444	0	51.3
6:12:28 PM 2:21:15 PM	40.69	2387	0	31.1	37.15	2457	0	50.1
6:16:29 PM 2:21:17 PM	40.74	2385	0	30.7	37.1	2452	0	50.6
6:20:29 PM 2:21:19 PM	40.68	2395	0	31.2	36.7	2433	0	54.6
6:24:30 PM 2:21:21 PM	40.66	2389	0	31.4	37.07	2450	0	50.9
6:28:32 PM 2:21:23 PM	40.85	2383	0	29.8	37.36	2466	0	48.2
6:32:32 PM 2:21:25 PM	40.9	2387	0	29.4	37.56	2485	0	46.2
6:36:33 PM 2:21:27 PM	40.62	2384	0	31.7	37.56	2478	0	46.3
6:40:34 PM 2:21:29 PM	40.73	2384	0	30.8	38.14	2510	0	40.8
6:44:35 PM 2:21:31 PM	40.7	2386	0	31.1	38.06	2504	0	41.6
6:48:36 PM 2:21:33 PM	40.63	2387	0	31.7	37.94	2497	0	42.7
6:52:37 PM 2:21:35 PM	40.89	2387	0	29.5	37.69	2479	0	45
6:56:38 PM 2:21:37 PM	40.66	2385	0	31.4	37.94	2498	0	42.7
7:00:39 PM 2:21:39 PM	40.83	2385	0	29.9	38.03	2492	0	41.9
7:04:40 PM 2:21:41 PM	40.83	2382	0	29.9	37.91	2482	0	43
7:08:41 PM 2:21:43 PM	40.94	2380	0	29.1	37.94	2497	0	42.7
7:12:42 PM 2:21:45 PM	40.91	2386	0	29.4	37.74	2489	0	44.5
7:16:43 PM 2:21:47 PM	41.12	2389	0	27.6	37.97	2488	0	42.4
7:20:44 PM 2:21:49 PM	41.01	2387	0	28.5	38.06	2497	0	41.6
7:24:45 PM 2:21:51 PM	41.13	2389	0	27.6	38.28	2502	0	39.5
7:28:45 PM 2:21:53 PM	41.02	2380	0	28.4	38.3	2503	0	39.4
7:32:47 PM 2:21:55 PM	41.18	2384	0	27.2	38.39	2496	0	38.6
7:36:47 PM 2:21:57 PM	41.15	2384	0	27.4	38.18	2490	0	40.5
7:40:48 PM 2:21:59 PM	41.02	2378	0	28.4	38.14	2481	0	40.8
7:44:49 PM 2:22:01 PM	41.12	2380	0	27.6	37.86	2471	0	43.4
7:48:50 PM 2:22:03 PM	41.26	2388	0	26.5	38.01	2471	0	42
7:52:51 PM 2:22:05 PM	41.21	2383	0	26.9	37.58	2448	0	46.1
7:56:52 PM 2:22:07 PM	41.04	2374	0	28.3	37.7	2454	0	45
8:00:53 PM 2:22:09 PM	41.06	2378	0	28.1	37.51	2445	0	46.7
8:04:54 PM 2:22:11 PM	41.13	2366	0	27.5	38.18	2483	0	40.5
8:08:55 PM 2:22:13 PM	41.12	2378	0	27.6	37.95	2478	0	42.6
8:12:56 PM 2:22:15 PM	41.23	2378	0	26.8	38.08	2477	0	41.4
8:16:57 PM 2:22:17 PM	41.05	2376	0	28.2	37.53	2439	0	46.5
8:20:58 PM 2:22:19 PM	41.17	2372	0	27.2	37.76	2459	0	44.4
8:24:59 PM 2:22:21 PM	41.05	2373	0	28.2	37.71	2456	0	44.9
8:29:00 PM 2:22:23 PM	41.29	2377	0	26.2	37.75	2461	0	44.5
8:33:00 PM 2:22:25 PM	41.09	2378	0	27.8	37.68	2456	0	45.1
8:37:02 PM 2:22:27 PM	41.18	2375	0	27.1	37.79	2456	0	44.1
8:41:02 PM 2:22:29 PM	41.15	2375	0	27.4	37.63	2460	0	45.6
8:45:03 PM 2:22:31 PM	41.28	2380	0	26.3	37.73	2464	0	44.7
8:49:04 PM 2:22:33 PM	41.32	2382	0	26	37.94	2469	0	42.7
8:53:05 PM 2:22:35 PM	41.32	2383	0	26	38.09	2473	0	41.3
8:57:06 PM 2:22:37 PM	41.33	2383	0	25.9	37.87	2465	0	43.3
9:01:07 PM 2:22:39 PM	41.37	2390	0	25.6	37.78	2465	0	44.1
9:05:08 PM 2:22:41 PM	41.33	2389	0	25.9	37.73	2462	0	44.6
9:09:09 PM 2:22:43 PM	41.27	2387	0	26.4	37.8	2461	0	44
9:13:10 PM 2:22:45 PM	41.5	2387	0	24.6	37.84	2465	0	43.6
9:17:11 PM 2:22:47 PM	41.32	2390	0	26	37.92	2464	0	42.9
9:21:12 PM 2:22:49 PM	41.48	2387	0	24.8	37.93	2470	0	42.8
9:25:13 PM 2:22:51 PM	41.41	2390	0	25.3	38.33	2485	0	39.1
9:29:14 PM 2:22:53 PM	41.37	2392	0	25.6	38.2	2480	0	40.3
9:33:15 PM 2:22:55 PM	41.46	2389	0	24.9	38	2473	0	42.2
9:37:15 PM 2:22:57 PM	41.62	2395	0	23.6	37.99	2476	0	42.2
9:41:17 PM 2:22:59 PM	41.58	2391	0	24	37.82	2469	2	43.8
9:45:17 PM 2:23:01 PM	41.46	2391	1	24.9	37.94	2469	0	42.7
9:49:18 PM 2:23:03 PM	41.52	2397	0	24.4	38.08	2472	2	41.4
9:53:19 PM 2:23:05 PM	41.48	2401	1	24.8	38.18	2481	2	40.5
9:57:21 PM 2:23:07 PM	41.56	2398	1	24.1	38.02	2475	2	42
10:01:21 PM 2:23:09 PM	41.6	2398	1	23.8	38.1	2481	2	41.3
10:05:22 PM 2:23:11 PM	41.64	2400	1	23.5	38.15	2489	2	40.8
10:09:23 PM 2:23:13 PM	41.39	2399	1	25.5	38.08	2478	2	41.4
10:13:24 PM 2:23:15 PM	41.51	2403	1	24.5	38.18	2484	2	40.5
10:17:25 PM 2:23:17 PM	41.69	2403	1	23.1	38.08	2474	2	41.4
10:21:26 PM 2:23:19 PM	41.42	2401	1	25.2	38.16	2482	2	40.6
10:25:27 PM 2:23:21 PM	41.67	2397	1	23.3	38.36	2485	2	38.8
10:29:28 PM 2:23:23 PM	41.69	2398	1	23.1	38.49	2497	2	37.7
10:33:29 PM 2:23:25 PM	41.63	2395	1	23.6	38.44	2495	2	38.1
10:37:30 PM 2:23:27 PM	41.71	2399	0	22.9	38.17	2487	0	40.6
10:41:31 PM 2:23:29 PM	41.7	2396	0	23	38.5	2490	0	37.6
10:45:32 PM 2:23:31 PM	41.7	2404	0	23	38.4	2492	0	38.5
10:49:32 PM 2:23:33 PM	41.68	2397	0	23.2	38.3	2483	0	39.4
10:53:33 PM 2:23:35 PM	41.85	2405	0	21.9	38.35	2483	0	38.9
10:57:34 PM 2:23:37 PM	41.99	2403	0	20.8	38.38	2486	0	38.6
11:01:36 PM 2:23:39 PM	41.82	2402	0	22.1	38.33	2487	0	39.1
11:05:36 PM 2:23:41 PM	41.83	2400	0	22	38.45	2482	0	38
11:09:37 PM 2:23:43 PM	41.74	2400	0	22.7	38.46	2490	0	38
11:13:38 PM 2:23:45 PM	41.71	2395	0	22.9	38.51	2488	0	37.5
11:17:39 PM 2:23:47 PM	41.81	2393	0	22.2	38.41	2482	0	38.4
11:21:40 PM 2:23:49 PM	41.96	2401	0	21	38.59	2483	0	36.8
11:25:41 PM 2:23:51 PM	41.99	2399	0	20.8	38.38	2485	0	38.6
11:29:42 PM 2:23:53 PM	41.95	2398	0	21	38.15	2470	0	40.8
11:33:43 PM 2:23:55 PM	42.03	2400	0	20.5	38.03	2461	0	41.9
11:37:44 PM 2:23:57 PM	41.81	2405	0	22.1	38.64	2490	0	36.3
11:41:45 PM 2:23:59 PM	41.82	2399	0	22.1	38.88	2495	0	34.3
11:45:46 PM 2:24:01 PM	42	2402	0	20.7	37.74	2439	0	44.5
11:49:47 PM 2:24:03 PM	41.86	2393	0	21.8	37.47	2427	0	47.1
11:53:48 PM 2:24:05 PM	42	2401	0	20.7	37.62	2430	0	45.7
11:57:48 PM 2:24:07 PM	42.01	2407	0	20.6	37.53	2430	0	46.5
12:01:49 AM 2:24:09 PM	42.1	2405	0	19.9	37.65	2430	0	45.4
12:05:51 AM 2:24:11 PM	41.95	2399	0	21.1	37.5	2430	0	46.8
12:09:51 AM 2:24:13 PM	42.19	2402	0	19.2	37.63	2428	0	45.6
12:13:52 AM 2:24:15 PM	42.15	2400	0	19.5	37.71	2437	0	44.8
12:17:53 AM 2:24:17 PM	42.13	2403	0	19.7	37.64	2430	0	45.5
12:21:54 AM 2:24:19 PM	42.19	2405	0	19.2	37.73	2433	0	44.7
12:25:55 AM 2:24:21 PM	42.22	2405	0	19	37.71	2436	0	44.9
12:29:56 AM 2:24:23 PM	42.14	2404	0	19.6	37.67	2428	0	45.2
12:33:57 AM 2:24:25 PM	42.22	2401	0	19	37.9	2438	0	43
12:37:58 AM 2:24:27 PM	42.28	2403	0	18.6	38.04	2444	0	41.7
12:41:59 AM 2:24:29 PM	42.05	2402	0	20.3	38.19	2453	0	40.4
12:46:00 AM 2:24:31 PM	42.09	2405	0	20	37.92	2452	0	42.9
12:50:01 AM 2:24:33 PM	42.03	2403	0	20.5	37.98	2447	0	42.3
12:54:02 AM 2:24:35 PM	42.39	2403	0	17.7	37.82	2446	0	43.8
12:58:03 AM 2:24:37 PM	42.2	2406	0	19.2	37.76	2448	0	44.4
1:02:04 AM 2:24:39 PM	42.14	2401	0	19.6	38.09	2445	0	41.3
1:06:04 AM 2:24:41 PM	42.12	2401	0	19.7	37.79	2451	0	44.1
1:10:06 AM 2:24:43 PM	42.19	2401	0	19.2	37.99	2451	0	42.2
1:14:06 AM 2:24:45 PM	42.08	2405	0	20.1	38.07	2452	0	41.5
1:18:07 AM 2:24:47 PM	42.36	2406	0	18	38.1	2451	0	41.3
1:22:08 AM 2:24:49 PM	42.21	2409	0	19.1	38.03	2455	0	41.8
1:26:09 AM 2:24:51 PM	42.33	2409	0	18.1	37.74	2438	0	44.5
1:30:10 AM 2:24:53 PM	42.28	2407	0	18.5	37.9	2450	0	43.1
1:34:11 AM 2:24:55 PM	42.33	2411	0	18.1	37.94	2449	0	42.7
1:38:12 AM 2:24:57 PM	42.37	2411	0	17.8	37.87	2450	0	43.3
1:42:13 AM 2:24:59 PM	42.26	2405	0	18.7	37.98	2447	0	42.3
1:46:14 AM 2:25:01 PM	42.2	2412	0	19.2	37.93	2447	0	42.8
1:50:15 AM 2:25:03 PM	42.4	2416	0	17.6	37.79	2443	0	44.1
1:54:16 AM 2:25:05 PM	42.53	2414	0	16.7	37.85	2445	0	43.5
1:58:17 AM 2:25:07 PM	42.6	2420	0	16.1	37.94	2446	0	42.7
2:02:18 AM 2:25:09 PM	42.71	2415	0	15.3	38.02	2450	0	42
2:06:19 AM 2:25:11 PM	42.6	2416	0	16.1	37.86	2442	0	43.4
2:10:19 AM 2:25:13 PM	42.5	2417	0	16.9	37.99	2448	0	42.3
2:14:21 AM 2:25:15 PM	42.59	2418	0	16.2	38.03	2445	0	41.9
2:18:21 AM 2:25:17 PM	42.58	2421	0	16.3	37.97	2449	0	42.4
2:22:22 AM 2:25:19 PM	42.7	2420	0	15.4	37.98	2449	0	42.3
2:26:23 AM 2:25:21 PM	42.54	2420	0	16.6	38.03	2449	0	41.8
2:30:24 AM 2:25:23 PM	42.49	2419	0	17	37.92	2450	0	42.8
2:34:25 AM 2:25:25 PM	42.61	2421	0	16	37.82	2443	0	43.8
2:38:26 AM 2:25:27 PM	42.64	2421	0	15.9	37.85	2437	0	43.5
2:42:27 AM 2:25:29 PM	42.63	2420	0	15.9	38.06	2441	0	41.6
2:46:28 AM 2:25:31 PM	42.68	2417	0	15.5	37.94	2444	0	42.7
2:50:29 AM 2:25:33 PM	42.72	2416	0	15.2	37.81	2439	0	43.9
2:54:30 AM 2:25:35 PM	42.76	2425	0	15	37.96	2446	0	42.5
2:58:31 AM 2:25:37 PM	42.81	2422	0	14.6	37.91	2450	0	43
3:02:32 AM 2:25:39 PM	42.64	2423	0	15.8	38	2448	0	42.2
3:06:33 AM 2:25:41 PM	42.59	2425	0	16.2	37.83	2446	0	43.7
3:10:34 AM 2:25:43 PM	42.63	2427	0	15.9	38.12	2453	0	41
3:14:34 AM 2:25:45 PM	42.77	2427	0	14.9	37.95	2444	0	42.6
3:18:36 AM 2:25:47 PM	42.82	2428	0	14.5	38.06	2453	0	41.6
3:22:36 AM 2:25:49 PM	42.8	2425	0	14.6	38.06	2444	0	41.6
3:26:37 AM 2:25:51 PM	43.03	2426	0	13	37.99	2452	0	42.2
3:30:38 AM 2:25:53 PM	42.79	2428	0	14.7	38.28	2470	0	39.6
3:34:39 AM 2:25:55 PM	42.94	2426	0	13.6	38.26	2462	0	39.8
3:38:40 AM 2:25:57 PM	42.89	2428	0	14	38.76	2471	0	35.3
3:42:41 AM 2:25:59 PM	42.87	2428	0	14.1	38.57	2469	0	37
3:46:42 AM 2:26:01 PM	42.93	2429	0	13.7	38.55	2475	0	37.2
3:50:43 AM 2:26:03 PM	42.96	2428	0	13.5	38.55	2477	0	37.2
3:54:44 AM 2:26:05 PM	42.83	2428	0	14.4	38.42	2468	0	38.3
3:58:45 AM 2:26:07 PM	42.86	2433	0	14.2	38.4	2467	0	38.5
4:02:46 AM 2:26:09 PM	43.02	2439	0	13	38.42	2471	0	38.3
4:06:47 AM 2:26:11 PM	42.92	2435	0	13.8	38.59	2474	0	36.8
4:10:48 AM 2:26:13 PM	43.11	2435	0	12.4	38.58	2482	0	36.9
4:14:49 AM 2:26:15 PM	43.08	2437	0	12.6	38.64	2486	0	36.3
4:18:49 AM 2:26:17 PM	43.09	2441	0	12.5	38.66	2483	0	36.2
4:22:51 AM 2:26:19 PM	43.02	2432	0	13.1	38.76	2478	0	35.3
4:26:51 AM 2:26:21 PM	43.11	2433	0	12.3	38.83	2482	0	34.7
4:30:52 AM 2:26:23 PM	43.12	2437	0	12.3	39.01	2489	0	33.1
4:34:53 AM 2:26:25 PM	43.11	2437	0	12.3	38.54	2472	0	37.2
4:38:54 AM 2:26:27 PM	43.2	2442	0	11.7	38.61	2475	0	36.6
4:42:55 AM 2:26:29 PM	43.1	2437	0	12.5	38.7	2480	0	35.8
4:46:56 AM 2:26:31 PM	43.18	2437	0	11.8	38.6	2478	0	36.7
4:50:57 AM 2:26:33 PM	43.19	2437	0	11.8	38.95	2491	0	33.6
4:54:58 AM 2:26:35 PM	43.2	2438	0	11.7	38.98	2500	0	33.3
4:58:59 AM 2:26:37 PM	43.29	2446	0	11.1	39.18	2497	0	31.6
5:03:00 AM 2:26:39 PM	43.42	2444	0	10.1	39.2	2504	0	31.5
5:07:01 AM 2:26:41 PM	43.18	2448	0	11.9	39.44	2509	0	29.4
5:11:02 AM 2:26:43 PM	43.06	2443	0	12.7	39.74	2530	0	27
5:15:03 AM 2:26:45 PM	43.41	2445	0	10.2	40.33	2566	0	22.1
5:19:04 AM 2:26:47 PM	43.21	2447	0	11.6	39.55	2525	0	28.6
5:23:04 AM 2:26:49 PM	43.38	2443	0	10.4	39.36	2512	0	30.1
5:27:06 AM 2:26:51 PM	43.3	2450	0	11	39.67	2528	0	27.5
5:31:06 AM 2:26:53 PM	43.36	2450	0	10.5	39.22	2507	0	31.3
5:35:07 AM 2:26:55 PM	43.54	2450	0	9.3	39.34	2514	0	30.3
5:39:08 AM 2:26:57 PM	43.48	2454	0	9.7	39.43	2516	0	29.5
5:43:09 AM 2:26:59 PM	43.21	2451	0	11.6	39.37	2511	0	30
5:47:10 AM 2:27:01 PM	43.43	2452	0	10.1	39.46	2520	0	29.3
5:51:11 AM 2:27:03 PM	43.5	2453	0	9.6	39.4	2517	0	29.8
5:55:12 AM 2:27:05 PM	43.48	2455	0	9.7	39.43	2517	0	29.5
5:59:13 AM 2:27:07 PM	43.37	2451	0	10.5	39.43	2518	0	29.5
6:03:14 AM 2:27:09 PM	43.54	2454	0	9.3	39.5	2517	0	28.9
6:07:15 AM 2:27:11 PM	43.49	2462	0	9.6	39.55	2527	0	28.5
6:11:16 AM 2:27:13 PM	43.43	2460	0	10.1	39.58	2527	0	28.3
6:15:17 AM 2:27:15 PM	43.45	2457	0	9.9	39.71	2531	0	27.2
6:19:18 AM 2:27:17 PM	43.68	2461	0	8.3	39.77	2537	0	26.7
6:23:19 AM 2:27:19 PM	43.43	2458	0	10.1	39.68	2526	0	27.4
6:27:19 AM 2:27:21 PM	43.7	2458	0	8.2	39.78	2535	0	26.6
6:31:21 AM 2:27:23 PM	43.68	2461	0	8.3	39.94	2543	0	25.3
6:35:21 AM 2:27:25 PM	43.64	2461	0	8.6	39.91	2543	0	25.5
6:39:22 AM 2:27:27 PM	43.66	2460	0	8.4	40.13	2545	0	23.7
6:43:23 AM 2:27:29 PM	43.75	2466	0	7.8	40.05	2548	0	24.4
6:47:24 AM 2:27:31 PM	43.66	2465	0	8.4	40.08	2554	0	24.1
6:51:25 AM 2:27:33 PM	43.61	2462	0	8.7	40.35	2559	0	22
6:55:26 AM 2:27:35 PM	43.75	2463	0	7.8	40.22	2550	0	23
6:59:27 AM 2:27:37 PM	43.58	2466	0	9	40.35	2562	0	21.9
7:03:28 AM 2:27:39 PM	43.62	2465	0	8.7	40.36	2555	0	21.9
7:07:29 AM 2:27:41 PM	43.6	2463	0	8.8	40.26	2557	0	22.6
7:11:30 AM 2:27:43 PM	43.69	2466	0	8.2	40.31	2558	0	22.3
7:15:31 AM 2:27:45 PM	43.8	2467	0	7.4	40.25	2552	0	22.7
7:19:32 AM 2:27:47 PM	43.7	2471	0	8.2	40.28	2555	0	22.5
7:23:33 AM 2:27:49 PM	43.7	2463	0	8.1	40.34	2560	0	22
7:27:34 AM 2:27:51 PM	43.7	2466	0	8.2	40.31	2556	0	22.2
7:31:35 AM 2:27:53 PM	43.91	2468	0	6.6	40.29	2560	0	22.5
7:35:36 AM 2:27:55 PM	43.95	2469	0	6.4	40.19	2561	0	23.2
7:39:36 AM 2:27:57 PM	43.85	2471	0	7.1	40.18	2564	0	23.3
7:43:37 AM 2:27:59 PM	43.87	2478	0	6.9	40.19	2567	0	23.2
7:47:38 AM 2:28:01 PM	43.97	2479	0	6.2	40.22	2570	0	23
7:51:39 AM 2:28:03 PM	43.98	2483	0	6.2	40.37	2578	0	21.8
7:55:40 AM 2:28:05 PM	43.88	2483	0	6.9	40.38	2576	0	21.7
7:59:41 AM 2:28:07 PM	43.94	2491	0	6.4	40.48	2579	0	20.9
8:03:42 AM 2:28:09 PM	43.89	2495	0	6.8	40.59	2594	0	20
8:07:43 AM 2:28:11 PM	43.91	2490	0	6.7	40.57	2592	0	20.2
8:11:44 AM 2:28:13 PM	43.96	2498	0	6.3	40.51	2601	0	20.7
8:15:45 AM 2:28:15 PM	43.93	2505	0	6.5	40.49	2605	0	20.9
8:19:46 AM 2:28:17 PM	43.98	2500	0	6.2	40.55	2613	0	20.4
8:23:47 AM 2:28:19 PM	43.95	2508	0	6.4	40.7	2616	0	19.2
8:27:48 AM 2:28:21 PM	43.97	2512	0	6.2	40.62	2618	0	19.8
8:31:49 AM 2:28:23 PM	43.98	2517	0	6.2	40.58	2625	0	20.1
8:35:50 AM 2:28:25 PM	43.98	2514	0	6.2	40.84	2631	0	18
8:39:51 AM 2:28:27 PM	44.03	2519	0	5.8	40.84	2635	0	18.1
8:43:52 AM 2:28:29 PM	43.94	2522	0	6.5	40.85	2635	0	18
8:47:52 AM 2:28:31 PM	43.99	2515	0	6.1	41.07	2644	0	16.3
